grupo,muestra,poblacion_edad_trabajar,fuerza_trabajo,personas_ocupadas,personas_desocupadas,iniciadores_disponibles,ocupados_tiempo_parcial_involuntario,ocupados_buscan_empleo,fuerza_trabajo_potencial,fuerza_trabajo_ampliada,ocupados_informales,ocupados_sector_informal,tasa_desocupacion,tasa_ocupacion,tasa_participacion,tasa_presion_laboral,su1,su2,su3,su4,tasa_ocupacion_informal,tasa_ocupacion_sector_informal
Hombres,184428,8100876,5803982,5338641,465340,20188,264408,398605,397931,6222101,1331216,822431,8.02,65.9,71.65,15.18,8.34,12.88,14.2,18.45,24.94,15.41
Mujeres,206475,8436290,4466134,4052843,413290,13297,311838,302142,567364,5046795,1128160,582148,9.25,48.04,52.94,16.27,9.52,16.48,19.69,25.87,27.84,14.36
