grupo,muestra,poblacion_edad_trabajar,fuerza_trabajo,personas_ocupadas,personas_desocupadas,iniciadores_disponibles,ocupados_tiempo_parcial_involuntario,ocupados_buscan_empleo,fuerza_trabajo_potencial,fuerza_trabajo_ampliada,ocupados_informales,ocupados_sector_informal,tasa_desocupacion,tasa_ocupacion,tasa_participacion,tasa_presion_laboral,su1,su2,su3,su4,tasa_ocupacion_informal,tasa_ocupacion_sector_informal
15-24,52500,2542575,740112,581759,158353,4867,54621,62470,216087,961066,212093,81915,21.4,22.88,29.11,30.29,21.91,29.24,39.47,45.15,36.46,14.08
25-34,49737,3146799,2604994,2340471,264522,8949,142108,232946,154637,2768580,518113,255572,10.15,74.38,82.78,19.37,10.46,15.9,15.46,20.6,22.14,10.92
35-44,49579,3051982,2611435,2430161,181274,7588,129079,198978,130414,2749437,499824,304732,6.94,79.63,85.57,14.81,7.21,12.14,11.61,16.31,20.57,12.54
45-54,49978,2603857,2111028,1966167,144861,5936,119174,131203,139755,2256719,444213,292213,6.86,75.51,81.07,13.32,7.12,12.75,12.87,18.16,22.59,14.86
55-64,54762,2315717,1574554,1475243,99311,4276,92930,64707,152998,1731828,447100,290540,6.31,63.71,67.99,10.66,6.56,12.45,14.82,20.18,30.31,19.69
65-69,23107,942520,362465,343211,19254,1115,21653,7814,78828,442408,181125,94506,5.31,36.41,38.46,7.75,5.6,11.56,22.42,27.32,52.77,27.54
70+,48335,1933716,265528,254473,11055,754,16682,2630,92576,358858,156910,85100,4.16,13.16,13.73,5.42,4.43,10.7,29.09,33.74,61.66,33.44
